,countries,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious,totalcases_permillion,totaldeaths_permillion,totaltests,totaltests_permillion
7,World,4044795,"+35,504","277,087","+1,111","1,405,042","2,362,666","48,004",519,35.5,,
1,Europe,1599026,"+17,770","151,062",+548,"642,566","805,398","14,618",,,,
0,North America,1448790,"+6,040","87,445",+355,"280,813","1,080,532","18,012",,,,
8,USA,1325519,"+3,734","78,762",+147,"223,930","1,022,827","16,843","4,005",238,"8,684,952","26,238"
3,Asia,644105,"+9,274","21,639",+138,"353,151","269,315","5,112",,,,
2,South America,283471,"+1,296","14,626",+49,"99,246","169,599","10,013",,,,
9,Spain,262783,"+2,666","26,478",+179,"173,157","63,148","1,741","5,620",566,"2,467,761","52,781"
10,Italy,217185,,"30,201",,"99,023","87,961","1,168","3,592",500,"2,445,063","40,440"
11,UK,211364,,"31,241",,N/A,"179,779","1,559","3,114",460,"1,631,561","24,034"
12,Russia,198676,"+10,817","1,827",+104,"31,916","164,933","2,300","1,361",13,"5,221,964","35,783"
13,France,176079,,"26,230",,"55,782","94,067","2,868","2,698",402,"1,384,633","21,213"
14,Germany,170643,+55,"7,510",,"143,300","19,833","1,712","2,037",90,"2,755,770","32,891"
15,Brazil,147003,"+1,111","10,037",+45,"59,297","77,669","8,318",692,47,"339,552","1,597"
16,Turkey,135569,,"3,689",,"86,396","45,484","1,219","1,607",44,"1,298,806","15,400"
17,Iran,106220,"+1,529","6,589",+48,"85,064","14,567","2,696","1,265",78,"573,220","6,825"
221,China,82887,+1,"4,633",,"78,046",208,15,58,3,,
18,Canada,66434,,"4,569",,"30,406","31,459",502,"1,760",121,"1,032,088","27,346"
19,Peru,61847,,"1,714",,"19,012","41,121",730,"1,876",52,"473,190","14,351"
4,Africa,60157,"+1,107","2,182",+21,"21,022","36,953",223,,,,
20,India,59881,+186,"1,990",+5,"17,956","39,935",,43,1,"1,523,213","1,104"
21,Belgium,52596,+585,"8,581",+60,"13,411","30,604",502,"4,538",740,"540,643","46,649"
22,Netherlands,42382,+289,"5,422",+63,N/A,"36,710",541,"2,473",316,"249,655","14,570"
23,Saudi Arabia,37136,"+1,704",239,+10,"10,144","26,753",141,"1,067",7,"433,500","12,452"
24,Mexico,31522,"+1,906","3,160",+199,"20,314","8,048",378,244,25,"123,446",957
25,Switzerland,30251,+44,"1,830",+7,"26,100","2,321",101,"3,495",211,"306,223","35,383"
26,Ecuador,28818,,"1,704",,"3,433","23,681",156,"1,633",97,"82,312","4,665"
27,Pakistan,27474,"+1,039",618,+19,"7,756","19,100",111,124,3,"270,025","1,222"
28,Portugal,27406,+138,"1,126",+12,"2,499","23,781",120,"2,688",110,"517,660","50,767"
29,Chile,25972,,294,,"12,160","13,518",508,"1,359",15,"255,961","13,390"
30,Sweden,25921,+656,"3,220",+45,"4,971","17,730",425,"2,567",319,"148,500","14,704"
31,Ireland,22541,,"1,429",,"17,110","4,002",76,"4,565",289,"214,761","43,493"
32,Singapore,22460,+753,20,,"2,040","20,400",22,"3,839",3,"175,604","30,016"
33,Belarus,22052,+951,126,+5,"6,050","15,876",92,"2,334",13,"251,771","26,644"
34,Qatar,21331,"+1,130",13,+1,"2,449","18,869",72,"7,404",5,"124,554","43,232"
35,UAE,16793,,174,,"3,837","12,782",1,"1,698",18,"1,200,000","121,330"
36,Israel,16444,+8,245,,"11,313","4,886",78,"1,900",28,"451,028","52,109"
37,Austria,15833,+59,615,+1,"13,928","1,290",79,"1,758",68,"311,690","34,608"
38,Japan,15575,,590,,"5,146","9,839",300,123,5,"202,013","1,597"
39,Poland,15510,+144,777,+1,"5,437","9,296",160,410,21,"460,686","12,172"
40,Romania,15131,+320,929,+6,"6,912","7,290",245,787,48,"248,056","12,894"
41,Ukraine,14710,+515,376,+15,"2,909","11,425",190,336,9,"167,107","3,821"
42,Bangladesh,13770,+636,214,+8,"2,414","11,142",1,84,1,"116,919",710
43,Indonesia,13645,+533,959,+16,"2,607","10,079",,50,4,"150,887",552
44,S. Korea,10840,+18,256,,"9,568","1,016",55,211,5,"660,030","12,874"
45,Philippines,10610,+147,704,+8,"1,842","8,064",31,97,6,"157,730","1,439"
46,Denmark,10319,+101,526,+4,"8,093","1,700",39,"1,782",91,"308,984","53,345"
47,Colombia,10051,,428,,"2,424","7,199",130,198,8,"139,739","2,746"
48,Serbia,10032,+89,213,+4,"2,732","7,087",43,"1,148",24,"134,533","15,397"
49,South Africa,9420,+525,186,+8,"3,983","5,251",77,159,3,"324,079","5,464"
50,Dominican Republic,9376,,380,,"2,286","6,710",134,864,35,"38,543","3,553"
5,Oceania,8525,+17,118,,"7,599",808,22,,,,
51,Egypt,8476,,503,,"1,945","6,028",41,83,5,"90,000",879
52,Czechia,8078,+1,273,,"4,414","3,391",47,754,25,"298,649","27,888"
53,Panama,8070,+202,231,+6,886,"6,953",85,"1,870",54,"40,356","9,353"
54,Norway,8070,,218,,32,"7,820",27,"1,489",40,"195,921","36,140"
55,Kuwait,7623,+415,49,+2,"2,622","4,952",95,"1,785",11,"196,397","45,988"
56,Australia,6929,+15,97,,"6,135",697,19,272,4,"795,456","31,194"
57,Malaysia,6589,+54,108,+1,"4,929","1,552",18,204,3,"245,102","7,573"
58,Finland,5880,+142,265,+5,"4,000","1,615",45,"1,061",48,"119,100","21,495"
59,Morocco,5873,+162,186,,"2,389","3,298",1,159,5,"62,007","1,680"
60,Argentina,5611,,293,,"1,659","3,659",148,124,6,"77,901","1,724"
61,Algeria,5369,,488,,"2,467","2,414",22,122,11,"6,500",148
62,Kazakhstan,4946,+112,31,,"1,740","3,175",31,263,2,"385,104","20,510"
63,Moldova,4728,,159,+9,"1,925","2,644",237,"1,172",39,"20,447","5,069"
64,Bahrain,4595,+151,8,,"2,049","2,538",2,"2,700",5,"177,306","104,201"
65,Afghanistan,4033,+255,115,+6,502,"3,416",7,104,3,"15,560",400
66,Ghana,4012,,18,,323,"3,671",8,129,0.6,"149,948","4,826"
67,Nigeria,3912,,117,,679,"3,116",4,19,0.6,"23,835",116
68,Luxembourg,3871,,100,,"3,526",245,16,"6,184",160,"53,257","85,078"
69,Oman,3224,+112,17,+1,"1,068","2,139",17,631,3,"50,000","9,791"
70,Hungary,3213,+35,405,+13,904,"1,904",74,333,42,"103,258","10,689"
71,Armenia,3175,+146,44,+1,"1,267","1,864",10,"1,071",15,"30,397","10,258"
72,Thailand,3004,+4,56,+1,"2,787",161,61,43,0.8,"227,860","3,264"
73,Greece,2691,,150,,"1,374","1,167",32,258,14,"94,991","9,114"
74,Iraq,2603,,104,,"1,661",838,,65,3,"122,941","3,057"
75,Azerbaijan,2422,+143,31,+3,"1,620",771,29,239,3,"188,950","18,636"
76,Uzbekistan,2349,+24,10,,"1,803",536,8,70,0.3,"325,000","9,710"
77,Cameroon,2274,+7,108,,"1,232",934,12,86,4,,
78,Bolivia,2266,+185,106,+4,237,"1,923",3,194,9,"7,651",655
79,Croatia,2176,+15,87,+1,"1,726",363,13,530,21,"44,218","10,771"
80,Bosnia and Herzegovina,2090,+20,102,+4,"1,059",929,4,637,31,"39,989","12,189"
81,Guinea,2009,,11,,663,"1,335",,153,0.8,,
82,Bulgaria,1921,+49,90,+4,422,"1,409",56,276,13,"56,105","8,074"
83,Iceland,1801,,10,,"1,765",26,,"5,278",29,"52,745","154,567"
84,Honduras,1771,+86,107,+2,192,"1,472",10,179,11,"5,653",571
85,Cuba,1741,,74,,"1,078",589,8,154,7,"63,560","5,612"
86,Estonia,1733,+8,60,+4,747,926,5,"1,306",45,"62,720","47,281"
87,Senegal,1634,+83,15,+2,643,976,6,98,0.9,"18,969","1,133"
88,North Macedonia,1622,+36,91,+1,"1,112",419,21,779,44,"18,821","9,034"
89,Ivory Coast,1602,,20,,754,828,,61,0.8,"12,312",467
90,New Zealand,1492,+2,21,,"1,368",103,2,309,4,"183,039","37,957"
91,Slovakia,1455,,26,,919,510,5,267,5,"118,371","21,681"
92,Slovenia,1454,+4,101,+1,255,"1,098",10,699,49,"62,203","29,921"
93,Lithuania,1444,+8,49,,828,567,17,530,18,"180,332","66,243"
94,Djibouti,1135,,3,,824,308,,"1,149",3,"14,857","15,037"
95,Sudan,1111,,59,,102,950,,25,1,,
96,Hong Kong,1045,,4,,967,74,1,139,0.5,"168,291","22,448"
97,Tunisia,1030,,45,,638,347,24,87,4,"27,420","2,320"
98,DRC,937,+74,39,+3,130,768,,10,0.4,,
99,Kyrgyzstan,931,+25,12,,658,261,13,143,2,"59,490","9,118"
100,Latvia,930,+2,18,,464,448,2,493,10,"75,571","40,065"
101,Somalia,928,,44,,106,778,2,58,3,,
102,Guatemala,900,+68,24,+1,101,775,5,50,1,"7,200",402
103,Cyprus,892,+1,15,,400,477,10,739,12,"72,768","60,270"
104,Albania,856,+6,31,,627,198,7,297,11,"10,268","3,568"
105,Mayotte,854,,10,,352,492,7,"3,130",37,"4,000","14,662"
106,Sri Lanka,847,+12,9,,260,578,1,40,0.4,"33,899","1,583"
107,Lebanon,809,+13,26,,234,549,42,119,4,"49,990","7,324"
108,Niger,795,,44,,600,151,,33,2,"5,488",227
109,El Salvador,784,+42,16,,276,492,4,121,2,"39,079","6,025"
110,Costa Rica,773,,6,,461,306,6,152,1,"15,810","3,104"
111,Maldives,766,+22,3,,20,743,2,"1,417",6,"11,299","20,903"
112,Andorra,752,,47,,537,168,14,"9,733",608,"1,673","21,653"
113,Burkina Faso,744,,48,,566,130,,36,2,,
6,,721,,15,,645,61,4,,,,
114,Diamond Princess,712,,13,,645,54,4,,,,
115,Uruguay,694,,18,,506,170,7,200,5,"26,838","7,726"
116,Mali,692,+24,37,+2,298,357,,34,2,"2,172",107
117,Kenya,649,+28,30,+1,207,412,1,12,0.6,"31,041",577
118,San Marino,637,+14,41,,126,470,3,"18,773","1,208","2,956","87,118"
119,Georgia,626,+3,10,,297,319,6,157,3,"27,846","6,980"
120,Gabon,620,,8,,110,502,1,279,4,724,325
121,Tajikistan,612,+90,20,+8,,592,,64,2,,
122,Guinea-Bissau,594,,2,,25,567,,302,1,"1,500",762
123,Paraguay,563,,10,,152,401,9,79,1,"13,846","1,941"
124,Channel Islands,545,,41,,447,57,,"3,135",236,"5,342","30,725"
125,Tanzania,509,,21,,183,305,7,9,0.4,,
126,Jordan,508,,9,,385,114,5,50,0.9,"106,314","10,420"
127,Jamaica,490,+2,9,,62,419,,165,3,"6,633","2,240"
128,Malta,490,+1,5,,427,58,,"1,110",11,"40,493","91,708"
129,Taiwan,440,,6,,361,73,,18,0.3,"66,861","2,807"
130,Equatorial Guinea,439,,4,,13,422,,313,3,854,609
131,Réunion,426,,,,354,72,3,476,,"17,200","19,211"
132,Venezuela,388,,10,,190,188,1,14,0.4,"507,119","17,834"
133,Palestine,375,,2,,228,145,,74,0.4,"34,511","6,765"
134,Mauritius,332,,10,,320,2,3,261,8,"60,466","47,545"
135,Isle of Man,329,,23,,271,35,19,"3,869",270,"3,625","42,631"
136,Montenegro,324,,8,,267,49,2,516,13,"7,816","12,445"
137,Sierra Leone,291,+34,18,+1,58,215,,36,2,,
138,Vietnam,288,,,,241,47,8,3,,"261,004","2,681"
139,Benin,284,+42,2,,62,220,,23,0.2,"19,474","1,606"
140,Congo,274,,10,,33,231,,50,2,,
141,Rwanda,273,,,,136,137,,21,,"40,187","3,103"
142,Chad,260,,28,,50,182,,16,2,,
143,Zambia,252,+85,7,+3,112,133,1,14,0.4,"10,270",559
144,Cabo Verde,230,,2,,44,184,,414,4,791,"1,423"
145,Ethiopia,210,+16,5,+1,97,108,1,2,0.04,"32,689",284
146,Sao Tome and Principe,208,,5,,4,199,,949,23,175,799
147,Liberia,199,,20,,79,100,,39,4,,
148,Madagascar,193,,,,101,92,1,7,,"3,968",143
149,Faeroe Islands,187,,,,187,0,,"3,827",,"8,403","171,971"
150,Martinique,186,,14,,83,89,3,496,37,,
151,Myanmar,178,+1,6,,68,104,,3,0.1,"10,848",199
152,Eswatini,159,,2,,12,145,,137,2,714,615
153,Guadeloupe,154,,13,,104,37,4,385,32,,
154,Haiti,146,,12,,17,117,,13,1,"1,145",100
155,Gibraltar,146,,,,142,4,,"4,334",,"3,366","99,908"
156,Togo,145,,10,,85,50,,18,1,"9,657","1,166"
157,CAR,143,,,,10,133,,30,,"3,498",724
159,French Guiana,141,,1,,119,21,,472,3,,
158,Brunei,141,,1,,132,8,2,322,2,"15,482","35,389"
160,Cambodia,122,,,,120,2,1,7,,"13,173",788
161,South Sudan,120,,,,2,118,,11,,"1,247",111
162,Bermuda,118,,7,,64,47,4,"1,895",112,"3,854","61,884"
163,Trinidad and Tobago,116,,8,,103,5,,83,6,"2,241","1,601"
164,Uganda,114,+13,,,55,59,,2,,"53,872","1,178"
165,Nepal,109,+7,,,31,78,,4,,"72,239","2,479"
166,Aruba,101,,3,,89,9,4,946,28,"1,817","17,019"
167,Monaco,95,,4,,82,9,1,"2,421",102,,
168,Guyana,94,,10,,35,49,3,120,13,785,998
169,Bahamas,92,,11,,31,50,1,234,28,"1,500","3,814"
170,Barbados,83,,7,,53,23,4,289,24,"2,788","9,702"
171,Liechtenstein,82,,1,,55,26,,"2,151",26,900,"23,605"
172,Mozambique,82,,,,27,55,,3,,"3,356",107
173,Cayman Islands,81,,1,,41,39,3,"1,232",15,"3,423","52,083"
174,Sint Maarten,76,,14,,44,18,7,"1,773",327,329,"7,673"
175,Libya,64,,3,,24,37,,9,0.4,"2,338",340
176,French Polynesia,60,,,,56,4,1,214,,"2,816","10,025"
177,Malawi,56,+13,3,,14,39,1,3,0.2,"1,188",62
178,Syria,47,,3,,29,15,,3,0.2,,
179,Macao,45,,,,40,5,1,69,,,
180,Angola,43,,2,,11,30,,1,0.06,"3,000",91
181,Mongolia,42,,,,14,28,,13,,"9,203","2,807"
182,Eritrea,39,,,,37,2,,11,,,
183,Saint Martin,38,,3,,30,5,1,983,78,,
184,Zimbabwe,35,+1,4,,9,22,,2,0.3,"16,052","1,080"
185,Yemen,34,,7,,1,26,,1,0.2,120,4
186,Antigua and Barbuda,25,,3,,19,3,1,255,31,183,"1,869"
187,Timor-Leste,24,,,,21,3,,18,,738,560
188,Botswana,23,,1,,9,13,,10,0.4,"9,066","3,855"
189,Grenada,21,,,,13,8,4,187,,"1,406","12,495"
190,Gambia,20,,1,,9,10,,8,0.4,756,313
191,Laos,19,,,,13,6,,3,,"2,908",400
192,Belize,18,,2,,16,0,,45,5,"1,043","2,623"
193,Fiji,18,,,,14,4,,20,,"1,300","1,450"
194,New Caledonia,18,,,,18,0,,63,,"5,213","18,259"
195,Saint Lucia,18,,,,17,1,,98,,620,"3,376"
196,St. Vincent Grenadines,17,,,,9,8,,153,,137,"1,235"
198,Curaçao,16,,1,,14,1,,98,6,389,"2,371"
199,Dominica,16,,,,14,2,,222,,416,"5,779"
197,Nicaragua,16,,5,,7,4,,2,0.8,,
200,Namibia,16,,,,10,6,,6,,"1,511",595
201,Burundi,15,,1,,7,7,,1,0.08,284,24
202,Saint Kitts and Nevis,15,,,,13,2,,282,,327,"6,147"
203,Falkland Islands,13,,,,13,0,,"3,736",,402,"115,517"
204,Turks and Caicos,12,,1,,8,3,,310,26,109,"2,815"
205,Vatican City,12,,,,2,10,,"14,981",,,
206,Montserrat,11,,1,,8,2,1,"2,204",200,36,"7,212"
207,Greenland,11,,,,11,0,,194,,"1,394","24,555"
208,Seychelles,11,,,,8,3,,112,,,
209,Suriname,10,,1,,9,0,,17,2,404,689
210,MS Zaandam,9,,2,,,7,,,,,
212,Mauritania,8,,1,,6,1,,2,0.2,"1,842",396
213,Papua New Guinea,8,,,,8,0,,0.9,,"2,402",268
211,Comoros,8,,1,,,7,,9,1,,
214,British Virgin Islands,7,,1,,4,2,,232,33,167,"5,524"
215,Bhutan,7,,,,5,2,,9,,"11,568","14,992"
216,Caribbean Netherlands,6,,,,,6,,229,,110,"4,195"
217,St. Barth,6,,,,6,0,,607,,,
218,Western Sahara,6,,,,5,1,,10,,,
219,Anguilla,3,,,,3,0,,200,,,
220,Saint Pierre Miquelon,1,,,,,1,,173,,,
